,comment,title,rating
0,"This is a very traditional area, you can take great pictures in there, culturally rich,
Es un área muy tradicional, puedes tomar geniales fotos ahí, culturalmente rico.","Traditional place, excellent pictures, lugar tradicional, excellentes fotos.",40
1,This street is very busy. I enjoyed it most by looking at it from the Chapultepec Castle. One can take interesting photos of it from the balcony of the castle.,Busy but beautiful street,50
2,"Grand street, but it's a street with traffic and statues every so often. Nice wide sidewalks flanking it.",Grand street,30
3,"Enjoying the modern architecture in Mexico City along with some other jewels you will find on this avenue. Great hotels, restaurant and other buildings showing the beauty of this city.",The most amazing avenue in Mexico City,50
4,"This area is always bustling with business people, tourist, and students. Great place to see lots of native people in their habitat.",Entertaining area. Lots to see lots to eat. Great place for pictures.,50
5,"Safe place anytime of the day. You see people exercising or commuting. It’s great for a leisure walk and for some people watching. 

Enjoy!",Great location!,50
6,"This great avenue is quite good to have a good stroll around the area. There are plenty of things to see, places to eat or have a coffee. Not cheap certainly but you can even find a 7eleven if that is your mood for a...",Nice stroll,50
7,"Paseo de la Reforma was one of my favorite parts of my visit to Mexico City. Plenty of safe areas to shop, eat, grab a drink.",Lively and safe area!,50
8,"Most famous avenue of the city. All good restaurants, hotels and tourist areas are located on or around it. Better find a hotel on or around it. Mere walking on the road at night is very pleasurable. Cool winds on the road are very pleasing.",Most famous Avenue of Mexico city,40
9,"We just happened to be in the Reforma area, to go to the Museo de Antropologia [the Anthropological Museum], Starbucks, and Chapultepec.  It's really a grand avenue, and fun to walk along to see the sites - just be careful when crossing, and take your...",One of Mexico City's great avenues,50
10,"Take a tour on one of the buses to get a feel of the area.  Sort of fun, so it's worth the trip, especially if it's a hot day.  Plenty of stops to get off and explore, but the restaurants in Reforma are some of...",Go to Reforma for the restos.,30
11,"Many people don't know, but during an earthquake in 1957, my mother told me that the Golden Angel fell. It is the pride of all Mexicans, here everyone gathers to celebrate soccer matches!","Breathtaking, you must take a picture with the Golden Angel",50
12,"Beautiful place feels like you are in Europe when you walk on the sidewalks and also in a modern city at the same time. Artwork, beautiful monuments, trees and plants along the street.",Wonderful place for activities,50
13,"Having said that! I really enjoyed the open deck tour bus. I had a group of 50 friends and we payed about $300 dollars less, than a similar tour we took for 20 people in San Francisco. Great price! We got to see the most...",Not the image portrayed by political propaganda,50
14,"Search the internet for a walking guide that will tell you about all of the statues in the intersections and the interesting buildings such as the national lottery. If you don't do this, you will just think the street is full of a thousand Starbucks.",Fun with a Walking Guide,50
15,"This is a beautiful walk! There are many monuments along the street in the roundabouts, one of them being the Angel. If you are there in the summer stick around on a Sunday and the street is closed from Chapultepec to the historic center. You...",Great walk to Chapultepec Park,50
16,"It was great to have a walk on Paseo de la Reforma. On Sundays, they close the streets both ways and there lots of people jogging, riding bikes and plenty of activities. Worth taking a walk to the park.",Great walk,50
17,"This area is great for photos. There is a lot of history to be learned here (plaques in Spanish and English are there to assist). It is a very busy traffic circle, but there are police to help you cross.",Perfect photo spot!,40
18,"Nice city monument, you can probably see this from bus trips. If you are keen to go and visit the place, it is not too far from historic center and on a nice weather day, I suggest you can even walk.

I personally prefer to...",Statue in middle of Mexico City,30
19,"A wide avenue to walk and take pictues of important buildings: Torre Latino, independence angel statue, and more.

They are several restaurants to eat as well as stores.",Nice relaxing walk,40
20,"All in all, I was totally impressed with this city. Well kept and lots to see. Worth spending 3 or 4 days here. This area has nice gardens and lots of little corners to discover. Enjoy a well kept secret!!",Nice area to walk around!,50
21,"During your walk of the city, the Reforma will greet you and provide a sense of presence in a World Class City. Within a few blocks, food, art, history, shopping and lots of city life.",World Class City!,50
22,"Great combination of old and new... lots of restaurants and shopping,
modern office buildings,  statues, and plazas. If you like walking, this is a great activity and way to walk off some extra vacation calories!

If I had more time in Mexico City, this is...",Great place to leisurely stroll....like 5h Avenue or Champs-Élysées,40
23,This is a nice place to bring friends and experience mexico. It’s a nice stroll and take in the ambience. Rush hour is congested. The weekend is highly recommended. Sunday’s is nice to bike ride and exercise. Walk right up to Chapultepec Park.,Nice to walk around,40
24,"Main Avenue in CDMX; it is green and spacious. Walking it you can see various monuments including the famous ""Angel de la Reforma"" where all main events in Mexican life are celebrated; there are many restaurants, shops, malls on either side. It is agrwat place...","Great Place for walking, sightseeing, exercising",40
25,"I had a nice walk from the area near Alameda all the way to the Anthropology Museum.  Perhaps it would be longer than many would want to walk, but I enjoyed it.  I think it took me an hour.  I liked looking at the skyscrapers,...",Great Walk & Nice Buildings,40
26,"Beautiful street to walk on, very safe area. Its lined with trees which makes it nice and shaded on a warm day. You can get a nice shot of the Angel de la Independcia as well if you go when the roads arent too busy.","Safe, and cool on a hot day",40
27,Nice enough I guess but its about where it takes you and not so much the street itself - just large and busy,Nice enough but just a street really,30
28,"We strolled around several loops in the Reforma. It is a great place to stroll, have a coffee, relax on one of the numerous benches / sitting places and admire CDMX and its wonderful people. Walk to the Independence Circle, have a bus ride if...",A great safe part of CDMX,50
29,We have been up and down Reforma on our many trip to D.F.   We stopped this time to take in the history of the 1910 erection of the statue to commemorate the 100 years of independence from Spain.  The angel and Hidalgo and Morelos stand...,208 years independence from Spain,50
30,"There is not much to do in this area it is like the Mexican wall street, but nice to drive through and pass all the buildings and Gold angel.",Nice area to drive through,40
31,"Reforma Avenue was constructed resembling Champs Elysees so Mexico’s Emperor Maximiliano could travel comfortably from his home in Chapultepec Castle to his office downtown. 
Blocks are very long and as his Paris counterpart, not many attractions along the way. 
Suggest to walk 2 or 3...",Beautiful but not by foot,50
32,Paseo de la reforma has a few awesome things to see. If you start at the angel you can end near the historic town center. The Angel in the middle of a huge roundabout is easily the main attraction. Sometimes it can be hard to...,El Ángel ,40
33,"There is so much Mexican heritage at this site. It is something you take time out to see. If you stay downtown, you can walk to it.",A lot at this site,50
34,"Many plaza setups like these -they are beautiful, unique, represent something. Check them out, BIKE around.",Many of these,50
35,This is the cultural celebration of the Mexican heritage. Mexicans consider this a pride. It is right in Pase de Reforma. Cannot be missed. I loved walking by it everyday. Its a huge square in a traffic roundabout. Can spend some 30 mins around this...,Must visit for first timers to Mexico,50
36,"Great to walk only some of the area the rest can be on a car I think is to long and there is more to do in Mexico 
If you walk the entire street it will take you a couple of hours",Walk ,50
37,"Paseo de la Reforma is probably the most iconic avenue in Mexico City (Ciudad de Mexico -CDMX) and it runs  from East-ish to West and is several kilometers long
This review is for what is known as Reforma Lomas at Fuente de Petroleos to Reforma...",If you have a chance walk it and don’t drive it,50
38,"I recently spent a long weekend in Mexico City with my wife, we stayed at a hotel close to Chapultepec Park and 2 blocks off the Paseo de la Reforma. We had a view of the ""Angle of the Reforma"" from our hotel room, if...","Must See/Visit in Mexico City, Especially on Sunday",50
39,"This main avenue it is world wide known, because of the “Monumento a la independencia” or also known as “El Ángel”. That I must say that it is beautiful and also by night you got the chance to see it all lighted up with beautiful...",Magnificent pans astonishing lights,40
40,I visited Temple Mayor in the historic district and walked to Alameda Park. I then walked along Paseo de la Reforma all the way to Chapultepec Park. I’m glad I did. I saw parts of the city I probably never would have seen. If I...,Golden walk!,40
41,"I have been to many post soviet countries and they all have one of these independence squares, it is truly beautiful and sort of majestic in a way, so go and see it. IF you are lucky, then you will run into girls in their...",Freedom Square as some would say,50
42,very interesting plaza. main thoroughfare dominated by the column. i suggest that it should be seen at night when it's illuminated.,interesting plaza,30
43,always fun and interesting especially on Sundays. On Sundays it's closed to  cars and open to bicycle traffic for a few hours in the morning. . It's always fun to walk or ride a bike and consider having a late brunch or lunch along the...,the most beautiful avenue in Mexico city ,50
44,"Beautiful monument in the center of a round a bout. Gold angel on top with 4 depicting, peace, law, war and justice below. Great place to see different views of the city.",Angel of Independence,50
45,"Nice hotel, somewhat pricey. Spent so far about 65 days in 2018. Executive lounge is rated 4-stars. Food menu changes little, but service is 5-star level. Magdalena and Alfredo are superb hosts, so I eat dinner at the lounge almost every day and feel confident...",US Government contractor,30
46,Mexico City is an overpopulated city with a serious air pollution problem. Not a surprise seeing a lot of people wearing surgical masks on the street. The trees in Paseo de la Reforma show the stress they suffer trying to filter the gas fumes from...,Traffic and smog are destroying this boulevard.,30
47,"I have had the pleasure of staying at the Marriott La Reforma in Mexico City twice this month.  The hotel and its amenities are outstanding!!! The staff has been by far the best, they are professional, courteous, and they make you feel at home. Brenda,...",Marriott La Reforma Staff and amenities,50
48,"A very nice street to walk by, beautiful surroundings, great restaurants and beautiful part of the amazing Mexico City",Always great!,50
49,"Paseos de la Reforma is not like Paris' Champs-Elysees but it is a nice avenue to drive by (either bike or bus/car, to walk its seemed a bit too long with not too much to see then.",Champs-Elysees? Not quite but not bad,40
50,"On Sundays, certain streets are blocked off to cars to make way for those riding bikes. Rent a bike and ride on over to this - so gorgeous.",Sunday Bike Ride around!,50
51,"We'd seen a lot of this remarkable boulevard from the Hop on Hop off bus, but when our host who lives an hour north of Mx City picked us up he specifically cruised P de la R on our way out of town even though...","As Magnificent Boulevards go, this is up there",50
52,"Paseo de la Reforma would have to be one of the top avenues for a visit of any city in the world.

You can literally spend hours walking along Reforma soaking up the sights and the atmosphere. Beautifully tree-lined and spacious with so many monuments,...",Sensational,50
53,"The hotel where I stayed was walking distance to the Paseo de la Reforma. The place is safe,  I noticed that there were police officers around the area. It's nice at daytime but its definitely more beautiful at night. Must-see when you're in Mexico City",Nice at daytime but more beautiful at night,40
54,Nice monument...not much else to say about it - but worth walking past on your way to the park - be warned there is no safe way of crossing to the centre to be on it - so best viewed from the side!,It's a statue,30
55,"What a majestic center piece to a fabulous boulevard! What could be more  fitting than an Angel of Independence, in such a historic city on a historic boulevard. While it attracts many protest, that is the honor of the significance of what it stands for...",Majestic!,50
56,"Nice place to see, it has several MArble sculpture that are very interesting and of course the Golden Angel at the top, it is right in front of Maria Isabel Sheraton. In the Midth of Mexico City`s most important artery. PASEO DE LA REFORMA ....",The Angel of Independence,30
57,"An excellent, long avenue for an interesting walk with lots of artwork to check out. Grab a coffee and watch people. Many restaurants and bars. You can rent a bicycle for little money and use the good bike lanes. Sunday morning the avenue is closed...",Great place for walking,40
58,"A lot to see in this great street. A walk from the Diana Cazadora statue to the Angel of Independence and beyond. Some of my favorite restaurants are just there. The four season, the St Regis, the Gaudi. Also stroll directly to chapultepec's castle!",Must walk!,50
59,"Paseo de la Reforma is a very modern avenue that runs across the heart of Mexico City. It was designed by Ferdinand von Rosenzweig in the 1860s modeled after the boulevards of Europe, such as the Ring Road (Ringstraße) in Vienna and the Champs-Élysées in...",Wonderful Area,50
60,"I left work at about 6PM and took some pictures of some people with posters gathering around the base of the Angel of Independence Monument on Paseo de la Reforma. Took a long walk before dinner and as I was coming back to tjhe hotel,...",True Mexico City,50
61,Beautiful angel statue. Was far from my hotel but took a tourbus and could see it. It is the best monument that repesents that you are in Mexico City,Was dying to see it,50
62,"This grand avenue is lined with towering skyscrapers which house the financial giants of Mexico.  Squeezed in between are a few mansion of centuries past.  Five star hotels and Starbucks and Sanborn's abound here.  There are several glorietas, traffic circles, with statues of Columbus and...",A great walk or viewed from a tourist bus,50
63,"It is one of the longest avenue in Mexico city and the most beautiful!  
It goes from the center of the city, where you can visit downtown, the Alameda (park), the Palacio de Bellas Artes (do not miss it), the statue of the Angel (iconic),...",The Paseo de la Reforma Avenue,50
64,"The beautiful ""angel de la independencia"" in the midst of a very busy road can be seen and makes you wonder about life.",good place to have a stroll or hang around,40
65,within the daily massiv traffice u see this beautiful monument collumn already from blocks away as a lighting column and monument.,monument u shoudn't miss,50
66,Sat on a bench near the Sheraton Marie Isabel and simply watched the world go by.  Great spot for people watching.,Nice view for people watching,40
67,"Paseo de la Reforma is a long and wide avenue that runs diagonally across the city. It is lined with trees and tall modern buildings. It is Mexico's Champs Elysées. 

There is a lot to see and do along La Reforma, including the famous Angel...",Amazing Avenue,50
68,"This is where you go to people watch and enjoy the overall vibe of the city.    It isn't per se a ""destination event"", but just a very nice stroll on an early Spring evening.",Stroll the Paseo!,50
69,This is by far one of the most beautful streets I have seen anywhere. I love how the monuments are in the middle of the street. The angel statue is of course the most beautiful of all. On Sundays the rode is closed the cars...,Beautiful and fascinating,50
70,"Reforma avenue is one of the lingest in mexico cuty, and definitely the most beautiful one .When Porfirio Diaz was the president , he waned to live in a french-like city so he made many monuments and constructions look as if it was Paris ....",The mexican Champs Elysees,50
71,"Amazing avenue. This is a must when in Mexico City. Day and night, everyday is fantastic.
History, shopping, restaurants, business, tourism.",Amazing avenue. This is a must when in Mexico City.,50
72,"Strolling this grand street is an absolut must when visiting the city! You will not only pass many visually and historically interesting monuments, but bettween 4pm and 7pm, there are loads of locals strolling down the street, relaxing and enjoying themselves - great for people-watching.",Best between 16.00 and 19.00,50
